ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-10-15 13:15:23+00:00,32,1,230943,70.49,70.49,70.48,70.48,3,CL.c.0
2024-10-15 13:15:25+00:00,32,1,230943,70.48,70.48,70.48,70.48,2,CL.c.0
2024-10-15 13:15:26+00:00,32,1,230943,70.49,70.49,70.48,70.48,2,CL.c.0
2024-10-15 13:15:28+00:00,32,1,230943,70.49,70.49,70.48,70.48,2,CL.c.0
2024-10-15 13:15:29+00:00,32,1,230943,70.48,70.48,70.47,70.47,5,CL.c.0
2024-10-15 13:15:30+00:00,32,1,230943,70.47,70.47,70.46,70.46,5,CL.c.0
2024-10-15 13:15:31+00:00,32,1,230943,70.47,70.47,70.47,70.47,1,CL.c.0
2024-10-15 13:15:32+00:00,32,1,230943,70.47,70.47,70.47,70.47,6,CL.c.0
2024-10-15 13:15:33+00:00,32,1,230943,70.48,70.48,70.48,70.48,12,CL.c.0
2024-10-15 13:15:36+00:00,32,1,230943,70.48,70.48,70.48,70.48,1,CL.c.0
2024-10-15 13:15:38+00:00,32,1,230943,70.47,70.47,70.47,70.47,1,CL.c.0
2024-10-15 13:15:39+00:00,32,1,230943,70.49,70.49,70.49,70.49,7,CL.c.0
2024-10-15 13:15:40+00:00,32,1,230943,70.49,70.49,70.47,70.47,12,CL.c.0
2024-10-15 13:15:41+00:00,32,1,230943,70.49,70.49,70.48,70.49,3,CL.c.0
2024-10-15 13:15:42+00:00,32,1,230943,70.48,70.48,70.48,70.48,5,CL.c.0
2024-10-15 13:15:45+00:00,32,1,230943,70.48,70.48,70.48,70.48,2,CL.c.0
2024-10-15 13:15:47+00:00,32,1,230943,70.47,70.47,70.47,70.47,4,CL.c.0
2024-10-15 13:15:49+00:00,32,1,230943,70.48,70.48,70.47,70.47,13,CL.c.0
2024-10-15 13:15:50+00:00,32,1,230943,70.47,70.48,70.47,70.48,5,CL.c.0
2024-10-15 13:15:51+00:00,32,1,230943,70.49,70.49,70.49,70.49,1,CL.c.0
2024-10-15 13:15:52+00:00,32,1,230943,70.48,70.48,70.48,70.48,2,CL.c.0
2024-10-15 13:15:53+00:00,32,1,230943,70.48,70.48,70.47,70.47,2,CL.c.0
2024-10-15 13:15:55+00:00,32,1,230943,70.47,70.48,70.47,70.48,6,CL.c.0
2024-10-15 13:15:56+00:00,32,1,230943,70.48,70.48,70.47,70.48,13,CL.c.0
2024-10-15 13:15:58+00:00,32,1,230943,70.48,70.48,70.47,70.48,12,CL.c.0
2024-10-15 13:15:59+00:00,32,1,230943,70.48,70.48,70.48,70.48,1,CL.c.0
2024-10-15 13:16:00+00:00,32,1,230943,70.48,70.48,70.47,70.47,6,CL.c.0
2024-10-15 13:16:01+00:00,32,1,230943,70.48,70.52,70.48,70.51,26,CL.c.0
2024-10-15 13:16:02+00:00,32,1,230943,70.51,70.51,70.5,70.5,13,CL.c.0
2024-10-15 13:16:03+00:00,32,1,230943,70.51,70.51,70.51,70.51,12,CL.c.0
2024-10-15 13:16:04+00:00,32,1,230943,70.52,70.55,70.52,70.52,41,CL.c.0
2024-10-15 13:16:05+00:00,32,1,230943,70.51,70.51,70.5,70.5,6,CL.c.0
2024-10-15 13:16:06+00:00,32,1,230943,70.51,70.52,70.51,70.52,14,CL.c.0
2024-10-15 13:16:07+00:00,32,1,230943,70.53,70.54,70.53,70.54,5,CL.c.0
2024-10-15 13:16:08+00:00,32,1,230943,70.54,70.55,70.53,70.54,13,CL.c.0
2024-10-15 13:16:09+00:00,32,1,230943,70.53,70.53,70.52,70.53,4,CL.c.0
2024-10-15 13:16:10+00:00,32,1,230943,70.52,70.52,70.5,70.5,13,CL.c.0
2024-10-15 13:16:11+00:00,32,1,230943,70.5,70.5,70.5,70.5,6,CL.c.0
2024-10-15 13:16:12+00:00,32,1,230943,70.5,70.51,70.5,70.5,13,CL.c.0
2024-10-15 13:16:13+00:00,32,1,230943,70.5,70.5,70.5,70.5,3,CL.c.0
2024-10-15 13:16:14+00:00,32,1,230943,70.5,70.5,70.5,70.5,6,CL.c.0
2024-10-15 13:16:15+00:00,32,1,230943,70.49,70.49,70.48,70.49,8,CL.c.0
2024-10-15 13:16:16+00:00,32,1,230943,70.49,70.49,70.49,70.49,1,CL.c.0
2024-10-15 13:16:17+00:00,32,1,230943,70.5,70.5,70.5,70.5,2,CL.c.0
2024-10-15 13:16:19+00:00,32,1,230943,70.5,70.5,70.5,70.5,2,CL.c.0
2024-10-15 13:16:20+00:00,32,1,230943,70.51,70.54,70.51,70.54,14,CL.c.0
2024-10-15 13:16:21+00:00,32,1,230943,70.55,70.55,70.55,70.55,12,CL.c.0
2024-10-15 13:16:22+00:00,32,1,230943,70.55,70.56,70.53,70.53,16,CL.c.0
2024-10-15 13:16:23+00:00,32,1,230943,70.53,70.53,70.52,70.52,32,CL.c.0
2024-10-15 13:16:24+00:00,32,1,230943,70.52,70.52,70.5,70.5,22,CL.c.0
2024-10-15 13:16:25+00:00,32,1,230943,70.49,70.51,70.49,70.51,13,CL.c.0
2024-10-15 13:16:26+00:00,32,1,230943,70.52,70.52,70.52,70.52,6,CL.c.0
2024-10-15 13:16:27+00:00,32,1,230943,70.52,70.52,70.52,70.52,3,CL.c.0
2024-10-15 13:16:28+00:00,32,1,230943,70.51,70.51,70.51,70.51,5,CL.c.0
2024-10-15 13:16:29+00:00,32,1,230943,70.5,70.51,70.5,70.5,54,CL.c.0
2024-10-15 13:16:32+00:00,32,1,230943,70.5,70.5,70.5,70.5,6,CL.c.0
2024-10-15 13:16:33+00:00,32,1,230943,70.5,70.5,70.5,70.5,1,CL.c.0
2024-10-15 13:16:34+00:00,32,1,230943,70.49,70.5,70.49,70.49,15,CL.c.0
2024-10-15 13:16:35+00:00,32,1,230943,70.49,70.49,70.49,70.49,2,CL.c.0
2024-10-15 13:16:36+00:00,32,1,230943,70.48,70.48,70.48,70.48,3,CL.c.0
2024-10-15 13:16:37+00:00,32,1,230943,70.48,70.48,70.47,70.47,9,CL.c.0
2024-10-15 13:16:38+00:00,32,1,230943,70.47,70.47,70.47,70.47,2,CL.c.0
2024-10-15 13:16:39+00:00,32,1,230943,70.47,70.47,70.46,70.47,6,CL.c.0
2024-10-15 13:16:40+00:00,32,1,230943,70.46,70.46,70.46,70.46,3,CL.c.0
2024-10-15 13:16:42+00:00,32,1,230943,70.46,70.47,70.46,70.47,7,CL.c.0
2024-10-15 13:16:43+00:00,32,1,230943,70.46,70.46,70.46,70.46,2,CL.c.0
2024-10-15 13:16:46+00:00,32,1,230943,70.45,70.45,70.45,70.45,7,CL.c.0
2024-10-15 13:16:47+00:00,32,1,230943,70.46,70.46,70.46,70.46,9,CL.c.0
2024-10-15 13:16:49+00:00,32,1,230943,70.45,70.45,70.45,70.45,7,CL.c.0
2024-10-15 13:16:50+00:00,32,1,230943,70.45,70.45,70.44,70.44,8,CL.c.0
2024-10-15 13:16:51+00:00,32,1,230943,70.44,70.45,70.44,70.44,6,CL.c.0
2024-10-15 13:16:52+00:00,32,1,230943,70.45,70.46,70.45,70.46,5,CL.c.0
2024-10-15 13:16:53+00:00,32,1,230943,70.45,70.45,70.45,70.45,8,CL.c.0
2024-10-15 13:16:54+00:00,32,1,230943,70.45,70.45,70.45,70.45,4,CL.c.0
2024-10-15 13:16:56+00:00,32,1,230943,70.45,70.45,70.45,70.45,1,CL.c.0
2024-10-15 13:16:57+00:00,32,1,230943,70.44,70.44,70.44,70.44,1,CL.c.0
2024-10-15 13:17:00+00:00,32,1,230943,70.45,70.45,70.44,70.45,14,CL.c.0
2024-10-15 13:17:02+00:00,32,1,230943,70.46,70.46,70.46,70.46,7,CL.c.0
2024-10-15 13:17:03+00:00,32,1,230943,70.45,70.45,70.45,70.45,6,CL.c.0
2024-10-15 13:17:05+00:00,32,1,230943,70.45,70.45,70.45,70.45,5,CL.c.0
2024-10-15 13:17:06+00:00,32,1,230943,70.44,70.45,70.44,70.45,12,CL.c.0
2024-10-15 13:17:07+00:00,32,1,230943,70.45,70.46,70.45,70.45,17,CL.c.0
2024-10-15 13:17:09+00:00,32,1,230943,70.45,70.45,70.45,70.45,8,CL.c.0
2024-10-15 13:17:10+00:00,32,1,230943,70.46,70.46,70.46,70.46,4,CL.c.0
2024-10-15 13:17:11+00:00,32,1,230943,70.46,70.47,70.46,70.47,3,CL.c.0
2024-10-15 13:17:12+00:00,32,1,230943,70.46,70.46,70.45,70.45,2,CL.c.0
2024-10-15 13:17:13+00:00,32,1,230943,70.45,70.45,70.45,70.45,5,CL.c.0
2024-10-15 13:17:14+00:00,32,1,230943,70.44,70.45,70.44,70.45,6,CL.c.0
2024-10-15 13:17:15+00:00,32,1,230943,70.46,70.46,70.45,70.45,5,CL.c.0
2024-10-15 13:17:17+00:00,32,1,230943,70.46,70.46,70.46,70.46,1,CL.c.0
2024-10-15 13:17:18+00:00,32,1,230943,70.46,70.46,70.46,70.46,5,CL.c.0
2024-10-15 13:17:19+00:00,32,1,230943,70.46,70.46,70.46,70.46,1,CL.c.0
2024-10-15 13:17:20+00:00,32,1,230943,70.46,70.46,70.46,70.46,2,CL.c.0
2024-10-15 13:17:21+00:00,32,1,230943,70.45,70.45,70.45,70.45,1,CL.c.0
2024-10-15 13:17:22+00:00,32,1,230943,70.45,70.45,70.45,70.45,1,CL.c.0
2024-10-15 13:17:23+00:00,32,1,230943,70.45,70.45,70.45,70.45,4,CL.c.0
2024-10-15 13:17:24+00:00,32,1,230943,70.46,70.46,70.46,70.46,5,CL.c.0
2024-10-15 13:17:25+00:00,32,1,230943,70.47,70.47,70.47,70.47,1,CL.c.0
2024-10-15 13:17:26+00:00,32,1,230943,70.47,70.47,70.47,70.47,3,CL.c.0
2024-10-15 13:17:27+00:00,32,1,230943,70.46,70.46,70.45,70.45,33,CL.c.0
2024-10-15 13:17:28+00:00,32,1,230943,70.45,70.45,70.45,70.45,3,CL.c.0
2024-10-15 13:17:30+00:00,32,1,230943,70.45,70.45,70.45,70.45,2,CL.c.0
2024-10-15 13:17:31+00:00,32,1,230943,70.45,70.45,70.45,70.45,4,CL.c.0
2024-10-15 13:17:32+00:00,32,1,230943,70.45,70.45,70.45,70.45,3,CL.c.0
2024-10-15 13:17:33+00:00,32,1,230943,70.46,70.46,70.46,70.46,5,CL.c.0
2024-10-15 13:17:34+00:00,32,1,230943,70.47,70.47,70.47,70.47,2,CL.c.0
